"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-08-13 06:42:05 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)"
2012,Germany,Afghanistan,31746,14357
2012,Germany,Pakistan,6943,5436
2012,Germany,Somalia,3634,1972
2012,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",113809,10620
2012,Germany,"Syrian Arab Rep.",18165,5986
2012,France,Afghanistan,2590,595
2012,France,Pakistan,547,1205
2012,France,Somalia,1489,0
2012,France,"Serbia and Kosovo (S/RES/1244 (1999))",11506,1139
2012,France,"Syrian Arab Rep.",640,0
2012,"United Kingdom",Afghanistan,9845,1262
2012,"United Kingdom",Pakistan,4751,2926
2012,"United Kingdom",Somalia,15134,475
2012,"United Kingdom","Serbia and Kosovo (S/RES/1244 (1999))",2328,35
2012,"United Kingdom","Syrian Arab Rep.",1717,389
2012,Italy,Afghanistan,5058,1162
2012,Italy,Pakistan,2232,2032
2012,Italy,Somalia,9284,494
2012,Italy,"Serbia and Kosovo (S/RES/1244 (1999))",2511,282
2012,Italy,"Syrian Arab Rep.",445,507
2012,Sweden,Afghanistan,8454,2353
2012,Sweden,Pakistan,209,226
2012,Sweden,Somalia,19416,2563
2012,Sweden,"Serbia and Kosovo (S/RES/1244 (1999))",4315,1741
2012,Sweden,"Syrian Arab Rep.",6051,3751
2012,Turkey,Afghanistan,3517,14587
2012,Turkey,Pakistan,19,35
2012,Turkey,Somalia,1669,389
2012,Turkey,"Syrian Arab Rep.",248466,200
